Record ID#,Spacecraft Name,Launch Code (Using Record ID)
671,Astranis 4,
672,Astranis TBA 1,
673,Astranis TBA 2,
674,Astranis TBA 3,
675,Astranis TBA 4,
676,Astranis TBA 5,
677,Astranis TBA 6,
678,Astranis TBA 7,
679,Astranis TBA 8,
680,Astranis Undiscolosed Customer - 2023,
681,Astro EX 2,
682,Astro EX 2 1,
683,Astro EX 2 2,
684,Astro EX 2 3,
685,Astro EX 2 4,
686,Astro SMEX - 2025,
687,Astro SMEX - 2028 1,
688,Astro SMEX - 2028 2,
689,Astro SMEX - 2030,
690,Astro SMEX - 2031 1,
691,Astro SMEX - 2031 2,
692,Astro SMEX - 2032 1,
693,Astro SMEX - 2032 2,
694,Astro SMEX 1 1,
695,Astro SMEX 1 2,
696,Astro SMEX 1 3,
697,Astro SMEX 1 4,
698,AstroBio CubeSat (ABCS),
699,Astrocast 15,
700,Astrocast 16,
701,Astrocast 17,
702,Astrocast 18,
703,Astrocast 19,
704,Astrocast 20,
705,Astrocast 2022,
706,Astrocast 2023,
707,Astrocast 2024,
708,Astrocast 2025-1,
709,Astrocast 2025-2,
710,Astrocast 2026,
711,Astrocast 2027,
712,Astrocast 2028,
713,Astrocast 2029,
714,Astrocast 2030,
715,Astrocast 2031,
716,Astrocast 2032,
717,Astrocast 21,
718,Astrocast 22,
719,Astrocast 23,
720,Astrocast 24,
721,Astrocast 25,
722,Astrocast 26,
723,Astrocast 27,
724,Astrocast 28,
725,Astrocast 29,
726,Astrocast 30,
727,Astrocast 31,
728,Astrocast 32,
729,Astrocast 33,
730,Astrocast 34,
731,Astrocast 35,
732,Astrocast 36,
733,Astrocast 37,
734,Astrocast 38,
735,Astrocast 39,
736,Astrocast 40,
737,Astrocast 41,
738,Astrocast 42,
739,Astrocast 43,
740,Astrocast 44,
741,Astrocast 45,
742,Astrocast 46,
743,Astrocast 47,
744,Astrocast 48,
745,Astrocast 49,
746,Astrocast 6,
747,Astrocast 7,
748,Astrocast 8,
749,Astrocast 9,
750,AstroForge Asteroid Miner 1,
751,AstroForge CubeSat Demo 1,
752,AstroForge CubeSat Prospector Demo 1,
753,ATHENA (ESA),
754,Athena (NovaWurks),
755,ATMSAT 1,
756,Atomos OTV 3,
757,Australian MoD - Gilmore Demo 1,
758,AxelGlobe (2021 forecast) 28,
759,AxelGlobe (2021 forecast) 29,
760,AxelGlobe (2021 forecast) 30,
761,AxelGlobe (2021 forecast) 31,
762,AxelGlobe (2021 forecast) 32,
763,AxelGlobe (2021 forecast) 33,
764,AxelGlobe (2021 forecast) 34,
